2023,12,30,20,12,38,63,/mnt/hasanweb/programming/productivityTracker
2023,12,30,20,54,23,763,/mnt/hasanweb/programming/productivityTracker
2023,12,30,22,39,12,956,/mnt/hasanweb/programming/productivityTracker
2023,12,30,22,58,56,399,/mnt/hasanweb/programming/productivityTracker
2023,12,30,23,3,31,17,/mnt/hasanweb/programming/personal/productivityTracker
2023,12,30,23,10,26,14,/mnt/hasanweb/programming/productivityTracker
2023,12,31,0,17,7,491,/mnt/hasanweb/programming/productivityTracker
2023,12,31,0,45,10,500,/mnt/hasanweb/programming/productivityTracker
2023,12,31,1,11,16,105,/mnt/hasanweb/programming/productivityTracker
2023,12,31,13,44,40,0,/mnt/hasanweb/programming/productivityTracker,
2023,12,31,13,45,13,7,/mnt/hasanweb/programming/productivityTracker,
2023,12,31,14,55,46,17,/mnt/hasanweb/programming/productivityTracker
2024,1,5,21,24,48,4,/mnt/hasanweb/programming/productivityTracker,
2024,1,5,21,27,9,20,/mnt/hasanweb/programming/productivityTracker,ad8c035 First commit :)
2024,1,5,21,39,47,7,/mnt/hasanweb/programming/productivityTracker,ad8c035 First commit :)
2024,1,5,21,41,4,12,/mnt/hasanweb/programming/productivityTracker,ad8c035 First commit :)
2024,1,5,22,18,24,519,/mnt/hasanweb/programming/productivityTracker,2424c98 Adding filterOneAndCalculate calculatoin
2024,1,5,22,46,40,576,/mnt/hasanweb/programming/productivityTracker,affb475 Adding gilterOneFromToAndCalculate calculation
2024,1,5,23,2,28,278,/mnt/hasanweb/programming/productivityTracker,cd74378 Adding filterAll functionality
2024,1,8,15,12,25,76,/mnt/hasanweb/programming/productivityTracker,33ecea6 Refactor some code
2024,1,9,20,8,25,8,/mnt/hasanweb/programming/productivityTracker,33ecea6 Refactor some code
2024,1,29,20,32,31,5,/mnt/hasanweb/programming/productivityTracker,33ecea6 Refactor some code
2024,1,29,20,33,4,16,/mnt/hasanweb/programming/productivityTracker,33ecea6 Refactor some code
2024,1,30,19,49,55,75,/mnt/hasanweb/programming/productivityTracker,33ecea6 Refactor some code
2024,2,14,12,28,13,8,/mnt/hasanweb/programming/productivityTracker,33ecea6 Refactor some code
2024,2,14,14,47,37,68,/mnt/hasanweb/programming/productivityTracker,33ecea6 Refactor some code
2024,3,20,11,27,1,103,/mnt/hasanweb/programming/productivityTracker,33ecea6 Refactor some code
2024,3,20,11,34,27,130,/mnt/hasanweb/programming/productivityTracker,64ba420 Adding regex functionality to filterAll.js file
2024,3,20,11,35,34,36,/mnt/hasanweb/programming/productivityTracker,64ba420 Adding regex functionality to filterAll.js file
2024,3,20,15,29,46,3886,/mnt/hasanweb/programming/productivityTracker,32621b7 Adding cli tool (in progress. need refactor to ts first)
2024,3,20,15,39,26,36,/mnt/hasanweb/programming/productivityTracker,32621b7 Adding cli tool (in progress. need refactor to ts first)
2024,3,20,16,52,59,843,/mnt/hasanweb/programming/productivityTracker,32621b7 Adding cli tool (in progress. need refactor to ts first)
2024,3,20,16,53,21,3,/mnt/hasanweb/programming/productivityTracker,32621b7 Adding cli tool (in progress. need refactor to ts first)
2024,3,20,16,53,36,5,/mnt/hasanweb/programming/productivityTracker,32621b7 Adding cli tool (in progress. need refactor to ts first)
2024,3,20,22,25,12,43,/mnt/hasanweb/programming/productivityTracker,32621b7 Adding cli tool (in progress. need refactor to ts first)
